anio	departamento	letra_desc	caes_1	puestos
2014	Gualeguaychú	EXPLOTACION DE MINAS Y CANTERAS	PRIM	44
2014	Gualeguaychú	INDUSTRIA MANUFACTURERA	MANUF	3492
2014	Gualeguaychú	INFORMACIÓN Y COMUNICACIONES	SERVEMP	310
2014	Gualeguaychú	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	423
2014	Gualeguaychú	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	972
2014	Gualeguaychú	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	165
2014	Gualeguaychú	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	563
2014	Gualeguaychú	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	575
2014	Gualeguaychú	SERVICIOS INMOBILIARIOS	SERVEMP	228
2014	Gualeguaychú	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	361
2014	Gualeguaychú	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	62
2014	Gualeguaychú	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	126
2014	Islas del Ibicuy	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	32
2014	Islas del Ibicuy	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	502
2014	Islas del Ibicuy	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	88
2014	Islas del Ibicuy	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	36
2014	Islas del Ibicuy	CONSTRUCCIÓN	CONST	57
2014	Islas del Ibicuy	ENSEÑANZA	ENSESALUD	47
2014	Islas del Ibicuy	EXPLOTACION DE MINAS Y CANTERAS	PRIM	29
2014	Islas del Ibicuy	INDUSTRIA MANUFACTURERA	MANUF	162
2014	Islas del Ibicuy	INFORMACIÓN Y COMUNICACIONES	SERVEMP	7
2014	Islas del Ibicuy	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	9
2014	Islas del Ibicuy	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	234
2014	Islas del Ibicuy	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	10
2014	Islas del Ibicuy	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	-5
2014	Islas del Ibicuy	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	25
2014	Islas del Ibicuy	SERVICIOS INMOBILIARIOS	SERVEMP	7
2014	Islas del Ibicuy	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	15
2014	Islas del Ibicuy	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	9
2014	Islas del Ibicuy	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	4
2014	La Paz	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	198
2014	La Paz	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	5257
2014	La Paz	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	1512
2014	La Paz	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	1019
2014	La Paz	CONSTRUCCIÓN	CONST	453
2014	La Paz	ENSEÑANZA	ENSESALUD	718
2014	La Paz	EXPLOTACION DE MINAS Y CANTERAS	PRIM	60
2014	La Paz	INDUSTRIA MANUFACTURERA	MANUF	846
2014	La Paz	INFORMACIÓN Y COMUNICACIONES	SERVEMP	44
2014	La Paz	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	119
2014	La Paz	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	222
2014	La Paz	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	19
2014	La Paz	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	127
2014	La Paz	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	265
2014	La Paz	SERVICIOS INMOBILIARIOS	SERVEMP	116
2014	La Paz	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	91
2014	La Paz	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	10
2014	La Paz	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	52
2014	Nogoyá	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	110
2014	Nogoyá	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	3223
2014	Nogoyá	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	748
2014	Nogoyá	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	861
2014	Nogoyá	CONSTRUCCIÓN	CONST	159
2014	Nogoyá	ENSEÑANZA	ENSESALUD	580
2014	Nogoyá	EXPLOTACION DE MINAS Y CANTERAS	PRIM	-65
2014	Nogoyá	INDUSTRIA MANUFACTURERA	MANUF	681
2014	Nogoyá	INFORMACIÓN Y COMUNICACIONES	SERVEMP	40
2014	Nogoyá	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	86
2014	Nogoyá	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	210
2014	Nogoyá	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	19
2014	Nogoyá	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	47
2014	Nogoyá	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	96
2014	Nogoyá	SERVICIOS INMOBILIARIOS	SERVEMP	58
2014	Nogoyá	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	65
2014	Nogoyá	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	9
2014	Nogoyá	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	29
2014	Paraná	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	1995
2014	Paraná	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	40802
2014	Paraná	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	1724
2014	Paraná	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	9745
2014	Paraná	CONSTRUCCIÓN	CONST	3690
2014	Paraná	ENSEÑANZA	ENSESALUD	8229
2014	Paraná	EXPLOTACION DE MINAS Y CANTERAS	PRIM	169
