depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Tala	1.0510059	0.8655722	0.5511731	0.7051267	2.2117149	1.0375997	2.0364886	2021
Uruguay	0.7514948	0.8507278	1.2030084	1.1567176	0.4137775	0.9462252	0.6396197	2021
Victoria	1.3733447	0.2863639	0.8777275	0.8797987	1.1759779	0.8503639	1.564813	2021
Villaguay	1.338901	1.8033761	0.8637778	0.7410702	2.1960385	1.0289336	1.4714034	2021
Colón	0.71864	0.2567159	0.2673729	1.2719813	0.7299229	0.5769715	0.5167532	2022
Concordia	1.167131	1.6084438	0.9727376	0.8652541	1.8399732	1.1723475	1.0074305	2022
Diamante	0.8619387	0.6565333	1.2855503	1.0959539	0.792858	0.6998406	0.9502631	2022
Federación	1.1423021	0.4702483	0.8006917	1.0717405	1.5485655	0.6338291	0.7851629	2022
Federal	1.2309924	1.9981689	0.9007117	0.355527	4.4932363	1.0115067	2.6716698	2022
Feliciano	1.0955861	2.3821537	1.5169994	0.5003479	3.265809	0.9743348	2.3184223	2022
Gualeguay	0.7961304	0.9309597	0.5961525	1.14193	1.1649018	0.6300508	0.7349046	2022
Gualeguaychú	0.942003	0.7453707	0.8999356	1.0693845	0.7987179	1.0413031	0.7914905	2022
Islas del Ibicuy	0.4924946	0.9342572	0.4892894	0.9488885	1.5674854	1.8747727	0.7606438	2022
La Paz	0.9432182	1.2577872	1.1610165	0.8329803	2.7416571	0.810304	1.335386	2022
Nogoyá	1.0075754	0.4770827	1.1113463	1.0203838	1.4312199	0.7863743	1.0017922	2022
Paraná	1.1439419	1.1726703	1.294639	0.9249486	0.3630022	1.2670709	1.2159305	2022
San Salvador	0.5947292	1.0022446	0.2975156	1.1421698	1.5264104	0.7493507	0.669514	2022
Tala	1.0308214	1.2217129	0.5552863	0.6921764	2.2962426	1.0668324	2.0533675	2022
Uruguay	0.7201104	0.8285108	1.1739004	1.1625622	0.4095598	0.9382582	0.6270504	2022
Victoria	1.3903536	0.9406362	0.9012298	0.8470046	1.2119578	0.8631341	1.589793	2022
Villaguay	1.3098545	1.8541119	0.8771388	0.7259958	2.3535778	1.0459508	1.5079415	2022
