depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Federación	1.1855795	0.5980429	0.7714691	1.0590433	1.601996	0.6162572	0.7700278	2020
Federal	1.3855957	2.3967251	0.9435649	0.3196312	4.1815217	0.9173074	2.6529131	2020
Feliciano	1.3398462	2.7435691	1.4693887	0.4067839	2.5855931	0.9198103	2.7345864	2020
Gualeguay	0.7254558	1.0592695	0.5802025	1.1636736	1.0812484	0.6156072	0.716327	2020
Gualeguaychú	0.9120085	0.9375049	0.9240171	1.0596202	0.7823359	1.0910946	0.8029776	2020
La Paz	0.9703498	1.1351162	1.1196235	0.8429436	2.5960814	0.7560137	1.3138779	2020
Nogoyá	1.0324987	0.5701664	1.0853773	1.0181067	1.3417894	0.7940003	0.9805115	2020
Paraná	1.15071	1.1167825	1.3009301	0.9241551	0.3318722	1.3028171	1.2199628	2020
San Salvador	0.5571339	0.9885605	0.2568017	1.197091	0.9794618	0.7712484	0.6419777	2020
Tala	1.0390156	0.783482	0.5556082	0.7179672	2.1902402	0.9888157	1.9915152	2020
Uruguay	0.7308053	0.852118	1.1879788	1.1735112	0.4024736	0.9060971	0.6352382	2020
Victoria	1.39860848	0.05495491	0.85723046	0.87289123	1.1390793	0.85854872	1.59351623	2020
Villaguay	1.2851028	1.5347139	0.8074459	0.7680191	2.1282932	0.9722998	1.465391	2020
Colón	0.6816091	0.2593425	0.2593313	1.2819465	0.683145	0.5872536	0.5098547	2021
Concordia	1.1446648	1.8285718	0.9575153	0.8376572	2.1744868999999998	1.1632343	0.996275	2021
Diamante	0.861889	0.6716683	1.2735359	1.1038232	0.7688204	0.6825798	0.933293	2021
Federación	1.1365333	0.4839445	0.7811818	1.0790422	1.5206841	0.6093942	0.7720833	2021
Federal	1.2811433	2.6850783	0.9216957	0.3265809	4.3976404	0.9556694	2.6242554	2021
Feliciano	1.0942914	2.6176096	1.4127854	0.445171	2.6657286	0.8815474	2.7994341	2021
Gualeguay	0.7526668	0.9204872	0.5832431	1.1624204	1.0971639	0.6097967	0.7122279	2021
Gualeguaychú	0.9092227	0.7619875	0.9073497	1.0690499	0.7782579	1.0710445	0.7987559	2021
