year	depto	letra	puestos
2017	Villaguay	H	175
2017	Villaguay	I	77
2017	Villaguay	J	77
2017	Villaguay	K	96
2017	Villaguay	L	55
2017	Villaguay	M	47
2017	Villaguay	N	83
2017	Villaguay	Otro	8
2017	Villaguay	P	281
2017	Villaguay	Q	127
2017	Villaguay	R	12
2017	Villaguay	S	84
2018	Colón	A	947
2018	Colón	B	96
2018	Colón	C	3112
2018	Colón	D	20
2018	Colón	E	4
2018	Colón	F	257
2018	Colón	G	1597
2018	Colón	H	621
2018	Colón	I	597
2018	Colón	J	146
2018	Colón	K	169
2018	Colón	L	30
2018	Colón	M	107
2018	Colón	N	154
2018	Colón	Otro	17
2018	Colón	P	404
2018	Colón	Q	235
2018	Colón	R	85
2018	Colón	S	348
2018	Concordia	A	5405
2018	Concordia	B	98
2018	Concordia	C	2868
2018	Concordia	D	229
2018	Concordia	E	40
2018	Concordia	F	1555
2018	Concordia	G	4342
2018	Concordia	H	904
2018	Concordia	I	523
2018	Concordia	J	281
2018	Concordia	K	665
2018	Concordia	L	187
2018	Concordia	M	268
2018	Concordia	N	1039
2018	Concordia	Otro	170
2018	Concordia	P	1780
2018	Concordia	Q	762
2018	Concordia	R	100
2018	Concordia	S	646
2018	Diamante	A	538
2018	Diamante	B	23
2018	Diamante	C	1276
2018	Diamante	D	21
2018	Diamante	E	20
2018	Diamante	F	200
2018	Diamante	G	1098
2018	Diamante	H	324
2018	Diamante	I	92
2018	Diamante	J	77
2018	Diamante	K	105
2018	Diamante	L	44
2018	Diamante	M	76
2018	Diamante	N	89
2018	Diamante	Otro	5
2018	Diamante	P	1103
2018	Diamante	Q	855
2018	Diamante	R	34
2018	Diamante	S	390
2018	Federación	A	1519
2018	Federación	B	15
2018	Federación	C	1671
2018	Federación	D	71
2018	Federación	E	10
2018	Federación	F	190
2018	Federación	G	1635
2018	Federación	H	219
2018	Federación	I	472
2018	Federación	J	104
2018	Federación	K	137
2018	Federación	L	49
2018	Federación	M	119
2018	Federación	N	97
2018	Federación	Otro	15
2018	Federación	P	623
2018	Federación	Q	189
2018	Federación	R	22
2018	Federación	S	204
