year	depto	letra	clae2_desc	puestos
2014	Diamante	B	Extracción de minerales metálicos	3
2014	Diamante	B	Extracción de otros minerales	17
2014	Diamante	B	Extracción de petróleo crudo y gas natural	4
2014	Diamante	C	Elaboracion de productos farmacéuticos	14
2014	Diamante	C	Elaboración de bebidas	65
2014	Diamante	C	Elaboración de prendas de vestir	3
2014	Diamante	C	Elaboración de productos alimenticios	592
2014	Diamante	C	Elaboración de productos de cuero y calzado	127
2014	Diamante	C	Elaboración de productos de madera	13
2014	Diamante	C	Elaboración de productos de papel	12
2014	Diamante	C	Elaboración de productos de tabaco	NA
2014	Diamante	C	Elaboración de productos textiles	21
2014	Diamante	C	Fabricación de equipo eléctrico	3
2014	Diamante	C	Fabricación de maquinarias	10
2014	Diamante	C	Fabricación de metales comunes	6
2014	Diamante	C	Fabricación de muebles	22
2014	Diamante	C	Fabricación de otros equipos de transporte	11
2014	Diamante	C	Fabricación de productos de caucho y vidrio	87
2014	Diamante	C	Fabricación de productos de informática, de electrónica y de óptica	3
2014	Diamante	C	Fabricación de productos de refinación de petróleo	NA
2014	Diamante	C	Fabricación de productos de vidrio y otros minerales no metálicos	26
2014	Diamante	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	86
2014	Diamante	C	Fabricación de sustancias químicas	24
2014	Diamante	C	Fabricación de vehículos automotores, remolques y semirremolques	67
2014	Diamante	C	Imprentas y editoriales	6
2014	Diamante	C	Otras industrias manufactureras	15
2014	Diamante	C	Reparación e instalación de maquinaria y equipo	7
2014	Diamante	D	Suministro de electricidad, gas, vapor y aire acondicionado	13
2014	Diamante	E	Captación, tratamiento y distribución de agua	18
2014	Diamante	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	4
2014	Diamante	F	Actividades especializadas de construcción 	25
2014	Diamante	F	Construcción de edificios y partes	68
2014	Diamante	F	Obras de ingeniería civil	104
2014	Diamante	G	Comercio al por mayor excepto autos y motos	474
2014	Diamante	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	53
2014	Diamante	G	Comercio al por menor excepto autos y motos	590
2014	Diamante	H	Almacenamiento y actividades de apoyo al transporte	29
2014	Diamante	H	Servicio de correo y mensajería	23
2014	Diamante	H	Transporte acuático	9
2014	Diamante	H	Transporte aéreo	NA
2014	Diamante	H	Transporte terrestre y por tuberías	225
2014	Diamante	I	Servicios de alojamiento	22
2014	Diamante	I	Servicios de expendio de alimentos y bebidas	50
2014	Diamante	J	Edición	16
2014	Diamante	J	Programación y transmisiones de TV y radio	29
2014	Diamante	J	Servicios de programación, consultoría informática y actividades conexas	12
2014	Diamante	J	Telecomunicaciones	10
2014	Diamante	K	Servicios auxiliares de la actividad financiera y de seguros	7
2014	Diamante	K	Servicios de seguros, reaseguros y pensiones	28
2014	Diamante	K	Servicios financieros (excepto seguros y pensiones)	70
2014	Diamante	L	Servicios inmobiliarios	69
2014	Diamante	M	Investigación y desarrollo científico	3
2014	Diamante	M	Otras actividades profesionales, científicas y técnicas	NA
2014	Diamante	M	Servicios de arquitectura e ingeniería	11
2014	Diamante	M	Servicios de publicidad e investigación de mercado	4
2014	Diamante	M	Servicios jurídicos y de contabilidad	40
2014	Diamante	M	Servicios veterinarios	NA
2014	Diamante	M	Servicios y asesoramiento de dirección y gestión empresarial	16
2014	Diamante	N	Actividades administrativas y de apoyo a oficinas y empresas	27
2014	Diamante	N	Actividades de investigación y seguridad	28
2014	Diamante	N	Agencias de viajes, servicios de reservas y actividades conexas	9
2014	Diamante	N	Alquiler y arrendamiento	10
2014	Diamante	N	Servicios a edificios y actividades de jardinería	17
2014	Diamante	N	Servicios de obtención y dotación de personal	11
2014	Diamante	P	Enseñanza	1001
2014	Diamante	Q	Actividades de atención en instituciones	81
2014	Diamante	Q	Actividades de atención sin alojamiento	NA
2014	Diamante	Q	Servicios de salud humana	700
2014	Diamante	R	Actividades deportivas, recreativas y de entretenimiento	7
2014	Diamante	R	Juegos de azar y apuestas	23
2014	Diamante	R	Servicios artísticos y de espectáculos	NA
2014	Diamante	R	Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.	NA
2014	Diamante	S	Otros servicios personales	31
2014	Diamante	S	Reparación de computadoras y equipos de uso doméstico	NA
2014	Diamante	S	Servicios de asociaciones	320
2014	Federación	Otro	Otros sectores	13
2014	Federación	A	Agricultura, ganadería, caza y servicios relacionados	1602
2014	Federación	A	Pesca y acuicultura	3
2014	Federación	A	Silvicultura y explotación forestal	46
2014	Federación	B	Actividades de apoyo al petróleo y la minería	4
2014	Federación	B	Extracción de otros minerales	21
2014	Federación	B	Extracción de petróleo crudo y gas natural	3
2014	Federación	C	Elaboracion de productos farmacéuticos	3
2014	Federación	C	Elaboración de bebidas	23
2014	Federación	C	Elaboración de prendas de vestir	9
2014	Federación	C	Elaboración de productos alimenticios	376
2014	Federación	C	Elaboración de productos de cuero y calzado	NA
2014	Federación	C	Elaboración de productos de madera	815
2014	Federación	C	Elaboración de productos de papel	3
2014	Federación	C	Elaboración de productos de tabaco	NA
2014	Federación	C	Elaboración de productos textiles	3
2014	Federación	C	Fabricación de equipo eléctrico	9
2014	Federación	C	Fabricación de maquinarias	18
2014	Federación	C	Fabricación de metales comunes	3
2014	Federación	C	Fabricación de muebles	102
2014	Federación	C	Fabricación de otros equipos de transporte	4
2014	Federación	C	Fabricación de productos de caucho y vidrio	4
2014	Federación	C	Fabricación de productos de informática, de electrónica y de óptica	4
2014	Federación	C	Fabricación de productos de vidrio y otros minerales no metálicos	17
2014	Federación	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	54
2014	Federación	C	Fabricación de sustancias químicas	39
2014	Federación	C	Fabricación de vehículos automotores, remolques y semirremolques	11
2014	Federación	C	Imprentas y editoriales	6
2014	Federación	C	Reparación e instalación de maquinaria y equipo	11
2014	Federación	D	Suministro de electricidad, gas, vapor y aire acondicionado	56
2014	Federación	E	Captación, tratamiento y distribución de agua	4
2014	Federación	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	6
