depto	desc_clae	puestos
Islas del Ibicuy	AutoRemSemi	59
Islas del Ibicuy	Otr	5
Islas del Ibicuy	RepInstalMaq	0
La Paz	Farm	13
La Paz	Bebi	14
La Paz	Vest	8
La Paz	Alim	634
La Paz	Cuercalz	5
La Paz	Made	50
La Paz	Pape	12
La Paz	Text	4
La Paz	EquiElec	5
La Paz	Maqu	27
La Paz	MetCom	20
La Paz	Mueb	22
La Paz	EquiTran	3
La Paz	CauVid	29
La Paz	InfoElecOpt	5
La Paz	VidOtrMin	91
La Paz	MetalExcMaqEq	51
La Paz	SustQuim	11
La Paz	AutoRemSemi	25
La Paz	ImpEdit	0
La Paz	Otr	7
La Paz	RepInstalMaq	5
Nogoyá	Farm	0
Nogoyá	Bebi	10
Nogoyá	Alim	596
Nogoyá	Cuercalz	10
Nogoyá	Made	0
Nogoyá	Pape	3
Nogoyá	ProdTab	0
Nogoyá	Text	7
Nogoyá	EquiElec	4
Nogoyá	Maqu	10
Nogoyá	MetCom	73
Nogoyá	Mueb	0
Nogoyá	EquiTran	0
Nogoyá	CauVid	10
Nogoyá	InfoElecOpt	3
Nogoyá	VidOtrMin	25
Nogoyá	MetalExcMaqEq	71
Nogoyá	SustQuim	42
Nogoyá	AutoRemSemi	8
Nogoyá	ImpEdit	0
Nogoyá	Otr	13
Nogoyá	RepInstalMaq	5
Paraná	Farm	539
Paraná	Bebi	191
Paraná	Vest	78
Paraná	Alim	4199
Paraná	Cuercalz	34
Paraná	Made	162
Paraná	Pape	501
Paraná	ProdTab	6
Paraná	Text	77
Paraná	EquiElec	335
Paraná	Maqu	251
Paraná	MetCom	163
Paraná	Mueb	590
Paraná	EquiTran	43
Paraná	CauVid	634
Paraná	InfoElecOpt	62
Paraná	RefPet	3
Paraná	VidOtrMin	233
Paraná	MetalExcMaqEq	614
Paraná	SustQuim	128
Paraná	AutoRemSemi	238
Paraná	ImpEdit	40
Paraná	Otr	185
Paraná	RepInstalMaq	30
San Salvador	Farm	0
San Salvador	Bebi	4
San Salvador	Alim	520
San Salvador	Cuercalz	0
San Salvador	Made	21
San Salvador	Text	5
San Salvador	EquiElec	0
San Salvador	Maqu	21
San Salvador	Mueb	3
San Salvador	EquiTran	0
San Salvador	CauVid	3
San Salvador	InfoElecOpt	0
San Salvador	VidOtrMin	0
San Salvador	MetalExcMaqEq	21
San Salvador	SustQuim	9
San Salvador	AutoRemSemi	9
San Salvador	Otr	0
San Salvador	RepInstalMaq	6
Tala	Farm	0
Tala	Bebi	5
Tala	Vest	3
Tala	Alim	151
Tala	Cuercalz	0
Tala	Made	34
Tala	Pape	0
Tala	EquiElec	3
Tala	Maqu	9
Tala	MetCom	4
Tala	Mueb	3
Tala	CauVid	14
Tala	InfoElecOpt	3
Tala	VidOtrMin	0
Tala	MetalExcMaqEq	18
Tala	SustQuim	5
Tala	AutoRemSemi	16
Tala	Otr	0
Tala	RepInstalMaq	0
Uruguay	Farm	50
Uruguay	Bebi	37
Uruguay	Vest	7
Uruguay	Alim	3282
Uruguay	Cuercalz	5
Uruguay	Made	149
Uruguay	Pape	58
Uruguay	Text	30
Uruguay	EquiElec	18
Uruguay	Maqu	98
Uruguay	MetCom	27
Uruguay	Mueb	5
Uruguay	EquiTran	6
Uruguay	CauVid	36
Uruguay	InfoElecOpt	7
