fecha,clae2,w_median
2007-05-01,15,1485
2007-05-01,16,1200
2007-05-01,17,2021
2007-05-01,18,1668
2007-05-01,19,2707
2007-05-01,20,2085
2007-05-01,21,2866
2007-05-01,22,1850
2007-05-01,23,1699
2007-05-01,24,2833
2007-05-01,25,1604
2007-05-01,26,1846
2007-05-01,27,1799
2007-05-01,28,1908
2007-05-01,29,2632
2007-05-01,30,2050
2007-05-01,31,1343
2007-05-01,32,1455
2007-05-01,33,1663
2007-05-01,35,2971
2007-05-01,36,1862
2007-05-01,37,1649
2007-05-01,38,2477
2007-05-01,39,1020
2007-05-01,41,1187
2007-05-01,42,1657
2007-05-01,43,1283
2007-05-01,45,1372
2007-05-01,46,1292
2007-05-01,47,1232
2007-05-01,49,2172
2007-05-01,50,3188
2007-05-01,51,2451
2007-05-01,52,1557
2007-05-01,53,1862
2007-05-01,55,1459
2007-05-01,56,1010
2007-05-01,58,1846
2007-05-01,59,1412
2007-05-01,60,2299
2007-05-01,61,2437
2007-05-01,62,2200
2007-05-01,63,1784
2007-05-01,64,2881
2007-05-01,65,2045
2007-05-01,66,1306
2007-05-01,68,1224
2007-05-01,69,1174
2007-05-01,70,1198
2007-05-01,71,1250
2007-05-01,72,1750
2007-05-01,73,1446
2007-05-01,74,1139
2007-05-01,75,824
2007-05-01,77,1626
2007-05-01,78,1248
2007-05-01,79,1287
2007-05-01,80,1100
2007-05-01,81,920
2007-05-01,82,1176
2007-05-01,85,1010
2007-05-01,86,1518
2007-05-01,87,1277
2007-05-01,88,1149
2007-05-01,90,717
2007-05-01,91,1185
2007-05-01,92,1527
2007-05-01,93,1139
2007-05-01,94,1471
2007-05-01,95,1195
2007-05-01,96,970
2007-05-01,999,1204
2007-06-01,1,1296
2007-06-01,2,1162
2007-06-01,3,3828
2007-06-01,5,2353
2007-06-01,6,9736
2007-06-01,7,4544
2007-06-01,8,2412
2007-06-01,9,5798
2007-06-01,10,2378
2007-06-01,11,2851
2007-06-01,12,2719
2007-06-01,13,2189
2007-06-01,14,1773
2007-06-01,15,2161
2007-06-01,16,1749
2007-06-01,17,3010
2007-06-01,18,2408
2007-06-01,19,3910
2007-06-01,20,3172
2007-06-01,21,4452
2007-06-01,22,2735
2007-06-01,23,2534
2007-06-01,24,4233
2007-06-01,25,2187
2007-06-01,26,2701
2007-06-01,27,2522
2007-06-01,28,2647
2007-06-01,29,3750
2007-06-01,30,2179
2007-06-01,31,1915
2007-06-01,32,2109
2007-06-01,33,2268
2007-06-01,35,4309
2007-06-01,36,2869
2007-06-01,37,2493
2007-06-01,38,3305
2007-06-01,39,1981
2007-06-01,41,1517
2007-06-01,42,2251
2007-06-01,43,1767
2007-06-01,45,2063
2007-06-01,46,2016
2007-06-01,47,1950
2007-06-01,49,3129
2007-06-01,50,4642
2007-06-01,51,3646
2007-06-01,52,2261
2007-06-01,53,2577
2007-06-01,55,2071
2007-06-01,56,1403
2007-06-01,58,2817
2007-06-01,59,1895
2007-06-01,60,3523
2007-06-01,61,3804
2007-06-01,62,3193
2007-06-01,63,2747
2007-06-01,64,4109
2007-06-01,65,3111
2007-06-01,66,2074
2007-06-01,68,1887
2007-06-01,69,1771
2007-06-01,70,1777
2007-06-01,71,1779
2007-06-01,72,2492
2007-06-01,73,2103
2007-06-01,74,1626
2007-06-01,75,1212
2007-06-01,77,2351
2007-06-01,78,1585
2007-06-01,79,1979
2007-06-01,80,1550
2007-06-01,81,1265
2007-06-01,82,1736
2007-06-01,85,1392
2007-06-01,86,2224
2007-06-01,87,1874
2007-06-01,88,1681
2007-06-01,90,1425
2007-06-01,91,1755
2007-06-01,92,2259
2007-06-01,93,1709
2007-06-01,94,2204
2007-06-01,95,1834
2007-06-01,96,1313
2007-06-01,999,1847
2007-07-01,1,918
2007-07-01,2,848
2007-07-01,3,2496
2007-07-01,5,1658
2007-07-01,6,6360
2007-07-01,7,3114
2007-07-01,8,1660
2007-07-01,9,4013
2007-07-01,10,1704
2007-07-01,11,2042
2007-07-01,12,1983
2007-07-01,13,1507
2007-07-01,14,1244
2007-07-01,15,1496
2007-07-01,16,1206
2007-07-01,17,2039
2007-07-01,18,1661
2007-07-01,19,2781
2007-07-01,20,2207
2007-07-01,21,3098
2007-07-01,22,1923
2007-07-01,23,1766
2007-07-01,24,2888
2007-07-01,25,1543
2007-07-01,26,1993
2007-07-01,27,1736
2007-07-01,28,1810
2007-07-01,29,2558
2007-07-01,30,1559
2007-07-01,31,1329
2007-07-01,32,1477
2007-07-01,33,1688
2007-07-01,35,3109
2007-07-01,36,2065
2007-07-01,37,1752
2007-07-01,38,2582
2007-07-01,39,1530
2007-07-01,41,1231
2007-07-01,42,1696
2007-07-01,43,1341
2007-07-01,45,1451
2007-07-01,46,1423
2007-07-01,47,1366
2007-07-01,49,2235
2007-07-01,50,3240
2007-07-01,51,2547
2007-07-01,52,1649
2007-07-01,53,2017
2007-07-01,55,1481
2007-07-01,56,1046
2007-07-01,58,1958
2007-07-01,59,1384
2007-07-01,60,2542
2007-07-01,61,2391
2007-07-01,62,2310
2007-07-01,63,1953
2007-07-01,64,2904
2007-07-01,65,2158
2007-07-01,66,1457
2007-07-01,68,1339
2007-07-01,69,1301
2007-07-01,70,1304
2007-07-01,71,1336
2007-07-01,72,1867
2007-07-01,73,1560
2007-07-01,74,1156
2007-07-01,75,848
2007-07-01,77,1752
2007-07-01,78,1296
2007-07-01,79,1442
2007-07-01,80,1201
2007-07-01,81,1001
2007-07-01,82,1302
2007-07-01,85,1020
2007-07-01,86,1539
2007-07-01,87,1267
2007-07-01,88,1198
2007-07-01,90,1153
2007-07-01,91,1211
2007-07-01,92,1581
2007-07-01,93,1261
2007-07-01,94,1539
2007-07-01,95,1310
2007-07-01,96,1016
2007-07-01,999,1312
2007-08-01,1,935
2007-08-01,2,885
2007-08-01,3,2522
2007-08-01,5,1536
2007-08-01,6,7321
2007-08-01,7,3155
2007-08-01,8,1736
2007-08-01,9,5736
2007-08-01,10,1776
2007-08-01,11,2100
2007-08-01,12,2157
2007-08-01,13,1546
2007-08-01,14,1298
2007-08-01,15,1550
2007-08-01,16,1311
2007-08-01,17,2073
2007-08-01,18,1725
2007-08-01,19,2700
2007-08-01,20,2264
2007-08-01,21,3120
2007-08-01,22,1975
2007-08-01,23,1823
2007-08-01,24,2903
2007-08-01,25,1596
2007-08-01,26,1933
2007-08-01,27,1803
2007-08-01,28,1879
2007-08-01,29,2660
2007-08-01,30,1595
2007-08-01,31,1411
2007-08-01,32,1530
2007-08-01,33,1700
2007-08-01,35,3259
2007-08-01,36,2012
2007-08-01,37,1728
2007-08-01,38,2652
2007-08-01,39,1600
2007-08-01,41,1251
2007-08-01,42,1753
2007-08-01,43,1374
2007-08-01,45,1462
2007-08-01,46,1423
2007-08-01,47,1365
2007-08-01,49,2281
2007-08-01,50,3365
2007-08-01,51,2643
2007-08-01,52,1678
2007-08-01,53,1989
2007-08-01,55,1629
2007-08-01,56,1116
2007-08-01,58,1998
2007-08-01,59,1412
2007-08-01,60,2523
2007-08-01,61,2727
2007-08-01,62,2300
2007-08-01,63,1941
2007-08-01,64,3100
2007-08-01,65,2209
2007-08-01,66,1465
2007-08-01,68,1349
2007-08-01,69,1302
2007-08-01,70,1312
2007-08-01,71,1365
2007-08-01,72,1937
2007-08-01,73,1578
2007-08-01,74,1276
2007-08-01,75,859
2007-08-01,77,1761
2007-08-01,78,1305
2007-08-01,79,1423
2007-08-01,80,1210
2007-08-01,81,1042
2007-08-01,82,1295
2007-08-01,85,1023
2007-08-01,86,1546
2007-08-01,87,1269
2007-08-01,88,1210
2007-08-01,90,1136
2007-08-01,91,1233
2007-08-01,92,1651
2007-08-01,93,1271
2007-08-01,94,1582
2007-08-01,95,1312
2007-08-01,96,1016
2007-08-01,999,1317
2007-09-01,1,919
2007-09-01,2,856
2007-09-01,3,2192
2007-09-01,5,1503
2007-09-01,6,7239
2007-09-01,7,3143
2007-09-01,8,1696
2007-09-01,9,4962
2007-09-01,10,1678
2007-09-01,11,2090
2007-09-01,12,2336
2007-09-01,13,1475
2007-09-01,14,1249
2007-09-01,15,1460
2007-09-01,16,1200
2007-09-01,17,2023
2007-09-01,18,1673
2007-09-01,19,2768
2007-09-01,20,2286
2007-09-01,21,3128
2007-09-01,22,1843
2007-09-01,23,1788
2007-09-01,24,2871
2007-09-01,25,1501
2007-09-01,26,2011
2007-09-01,27,1738
2007-09-01,28,1790
2007-09-01,29,2522
2007-09-01,30,1513
2007-09-01,31,1348
2007-09-01,32,1488
2007-09-01,33,1636
2007-09-01,35,3481
2007-09-01,36,2056
2007-09-01,37,1753
2007-09-01,38,2583
2007-09-01,39,1519
2007-09-01,41,1194
2007-09-01,42,1648
2007-09-01,43,1320
2007-09-01,45,1506
2007-09-01,46,1500
2007-09-01,47,1440
2007-09-01,49,2270
2007-09-01,50,3295
2007-09-01,51,2576
2007-09-01,52,1722
2007-09-01,53,1986
2007-09-01,55,1588
2007-09-01,56,1098
2007-09-01,58,1985
2007-09-01,59,1500
2007-09-01,60,2510
2007-09-01,61,3119
2007-09-01,62,2414
2007-09-01,63,2000
2007-09-01,64,3071
2007-09-01,65,2209
2007-09-01,66,1520
2007-09-01,68,1412
2007-09-01,69,1372
2007-09-01,70,1358
2007-09-01,71,1365
2007-09-01,72,2062
2007-09-01,73,1615
2007-09-01,74,1194
2007-09-01,75,900
2007-09-01,77,1795
2007-09-01,78,1242
2007-09-01,79,1508
2007-09-01,80,1200
2007-09-01,81,1054
2007-09-01,82,1331
2007-09-01,85,1039
2007-09-01,86,1567
2007-09-01,87,1283
2007-09-01,88,1230
2007-09-01,90,1021
2007-09-01,91,1281
2007-09-01,92,1691
2007-09-01,93,1306
2007-09-01,94,1600
2007-09-01,95,1367
2007-09-01,96,1016
2007-09-01,999,1361
2007-10-01,1,1169
2007-10-01,2,990
2007-10-01,3,2475
2007-10-01,5,1505
2007-10-01,6,7311
2007-10-01,7,3328
2007-10-01,8,1820
2007-10-01,9,4973
2007-10-01,10,1785
2007-10-01,11,2266
2007-10-01,12,2338
2007-10-01,13,1651
2007-10-01,14,1379
2007-10-01,15,1630
2007-10-01,16,1309
2007-10-01,17,2132
2007-10-01,18,1756
2007-10-01,19,2865
2007-10-01,20,2398
2007-10-01,21,3238
2007-10-01,22,2019
2007-10-01,23,1921
2007-10-01,24,3065
2007-10-01,25,1647
2007-10-01,26,2079
2007-10-01,27,1851
2007-10-01,28,1937
2007-10-01,29,2704
2007-10-01,30,1615
2007-10-01,31,1445
2007-10-01,32,1558
2007-10-01,33,1738
2007-10-01,35,3295
2007-10-01,36,2083
2007-10-01,37,1785
2007-10-01,38,2734
2007-10-01,39,1724
2007-10-01,41,1279
2007-10-01,42,1861
2007-10-01,43,1428
2007-10-01,45,1526
2007-10-01,46,1502
2007-10-01,47,1434
2007-10-01,49,2348
2007-10-01,50,3454
2007-10-01,51,2600
2007-10-01,52,1786
2007-10-01,53,2046
2007-10-01,55,1631
