fecha,clae6,puestos
2007-01-01,522010,788
2007-01-01,522020,1190
2007-01-01,522091,118
2007-01-01,522092,577
2007-01-01,522099,3796
2007-01-01,523011,3287
2007-01-01,523019,265
2007-01-01,523020,876
2007-01-01,523031,203
2007-01-01,523039,610
2007-01-01,523090,11888
2007-01-01,524110,784
2007-01-01,524120,6236
2007-01-01,524130,439
2007-01-01,524190,4396
2007-01-01,524210,383
2007-01-01,524220,305
2007-01-01,524230,1073
2007-01-01,524290,8731
2007-01-01,524310,1376
2007-01-01,524320,41
2007-01-01,524330,195
2007-01-01,524390,1143
2007-01-01,530010,15471
2007-01-01,530090,1628
2007-01-01,551010,5680
2007-01-01,551021,301
2007-01-01,551022,33020
2007-01-01,551023,17113
2007-01-01,551090,2187
2007-01-01,552000,564
2007-01-01,561011,43541
2007-01-01,561012,4450
2007-01-01,561013,32167
2007-01-01,561014,4113
2007-01-01,561019,30926
2007-01-01,561020,3295
2007-01-01,561030,5557
2007-01-01,561040,73
2007-01-01,562010,15030
2007-01-01,562091,2993
2007-01-01,562099,636
2007-01-01,581100,6367
2007-01-01,581300,14178
2007-01-01,581900,538
2007-01-01,591110,5197
2007-01-01,591120,161
2007-01-01,591200,584
2007-01-01,591300,2660
2007-01-01,592000,204
2007-01-01,601000,5212
2007-01-01,602100,5004
2007-01-01,602200,7700
2007-01-01,602310,2872
2007-01-01,602320,3441
2007-01-01,602900,802
2007-01-01,611010,764
2007-01-01,611090,28187
2007-01-01,612000,9083
2007-01-01,613000,303
2007-01-01,614010,1903
2007-01-01,614090,3301
2007-01-01,619000,6964
2007-01-01,620100,23638
2007-01-01,620200,845
2007-01-01,620300,294
2007-01-01,620900,23769
2007-01-01,631110,4069
2007-01-01,631120,73
2007-01-01,631190,551
2007-01-01,631200,71
2007-01-01,639100,616
2007-01-01,639900,301
2007-01-01,641100,5
2007-01-01,641910,4992
2007-01-01,641930,45329
2007-01-01,641941,2418
2007-01-01,641942,191
2007-01-01,641943,432
2007-01-01,642000,60
2007-01-01,643001,18
2007-01-01,643009,-99
2007-01-01,649100,86
2007-01-01,649210,525
2007-01-01,649220,9502
2007-01-01,649290,7449
2007-01-01,649910,83
2007-01-01,649991,251
2007-01-01,649999,6415
2007-01-01,651110,8233
2007-01-01,651120,5735
2007-01-01,651130,1007
2007-01-01,651210,8000
2007-01-01,651220,12333
2007-01-01,651310,29401
2007-01-01,651320,104
2007-01-01,652000,109
2007-01-01,653000,7767
2007-01-01,661111,508
2007-01-01,661121,33
2007-01-01,661131,618
2007-01-01,661910,1472
2007-01-01,661920,1247
2007-01-01,661930,104
2007-01-01,661991,110
2007-01-01,661992,-99
2007-01-01,661999,1297
2007-01-01,662010,196
2007-01-01,662020,5805
2007-01-01,662090,2630
2007-01-01,663000,749
2007-01-01,681010,2414
2007-01-01,681020,153
2007-01-01,681098,61019
2007-01-01,681099,14424
2007-01-01,682010,6322
2007-01-01,682091,1544
2007-01-01,682099,14409
2007-01-01,691001,17477
2007-01-01,691002,4917
2007-01-01,692000,30634
2007-01-01,702010,820
2007-01-01,702091,16869
2007-01-01,702092,22278
2007-01-01,702099,25978
2007-01-01,711001,13413
2007-01-01,711002,1926
2007-01-01,711003,5929
2007-01-01,711009,16031
2007-01-01,712000,3445
2007-01-01,721010,469
2007-01-01,721020,1204
2007-01-01,721030,505
2007-01-01,721090,229
2007-01-01,722010,631
2007-01-01,722020,220
2007-01-01,731001,2375
2007-01-01,731009,12033
2007-01-01,732000,2725
2007-01-01,741000,584
2007-01-01,742000,1960
2007-01-01,749001,335
2007-01-01,749002,68
2007-01-01,749003,27
2007-01-01,749009,4393
2007-01-01,750000,1441
2007-01-01,771110,566
2007-01-01,771190,2089
2007-01-01,771210,145
2007-01-01,771220,10
2007-01-01,771290,902
2007-01-01,772010,71
2007-01-01,772091,127
2007-01-01,772099,1571
2007-01-01,773010,390
2007-01-01,773020,64
2007-01-01,773030,1496
2007-01-01,773040,660
2007-01-01,773090,5494
2007-01-01,774000,795
2007-01-01,780000,91794
2007-01-01,791100,7715
2007-01-01,791200,4221
2007-01-01,791901,109
2007-01-01,791909,2493
2007-01-01,801010,5689
2007-01-01,801020,1503
2007-01-01,801090,109134
2007-01-01,811000,273
2007-01-01,812010,67117
2007-01-01,812020,680
2007-01-01,812090,5925
2007-01-01,813000,4077
2007-01-01,821100,1489
2007-01-01,821900,2047
2007-01-01,822000,42372
2007-01-01,823000,804
2007-01-01,829100,2460
2007-01-01,829200,3534
2007-01-01,829900,90029
2007-01-01,851010,2510
2007-01-01,851020,195946
2007-01-01,852100,49090
2007-01-01,852200,9677
2007-01-01,853100,14611
2007-01-01,853201,30767
2007-01-01,853300,1772
2007-01-01,854910,2923
2007-01-01,854920,156
2007-01-01,854930,1860
2007-01-01,854940,5783
2007-01-01,854950,447
